ID_INTERNO,CRIADO_EM,ATUALIZADO_EM,TITULO,DESCRICAO,TEMPLATE,STATUS,PUBLICAR,COLETAR_EMAIL,LIMITE_1_RESPOSTA,EDITAR_APOS_ENVIO,QUIZ,EMBARALHAR_PERGUNTAS,MENSAGEM_CONFIRMACAO,CRIAR_PLANILHA_RESPOSTAS,PASTA_FORM_ID,PASTA_RESPOSTAS_ID,GOOGLE_FORM_ID,URL_EDICAO,URL_RESPOSTA,RESPONSE_SHEET_ID,RESPONSE_SHEET_URL,ERRO_CODIGO,ERRO_MENSAGEM,LOCK_TOKEN,PROMPT_ORIGINAL
FORM-2026-0004,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,Panorama do seu momento emocional,Espelho técnico fechado da página clínica geral. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/Rastreioclinico/; 70 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0005,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Atenção, organização e impulsividade no dia a dia",Espelho técnico fechado da página clínica tdah. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/rastreioTDAH/; 85 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0006,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Oscilações de humor, energia e ritmo",Espelho técnico fechado da página clínica bipolar. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/tab-bateria-integrada/; 77 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0007,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Emoções, identidade e relações",Espelho técnico fechado da página clínica borderline. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/Inventario-de-Tracos-Borderline/; 47 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0008,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Autoimagem, reconhecimento e relações",Espelho técnico fechado da página clínica narcisismo. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/bateria.narcisismo/; 112 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0009,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Decisão, planejamento e controle de impulsos",Espelho técnico fechado da página clínica impulsividade. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/Rastreio-de-Impulsividade/; 30 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0010,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,Padrões emocionais que se repetem,Espelho técnico fechado da página clínica esquemas. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/rastreio.de.esquemas/; 108 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0011,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,Como você reage quando algo toca em pontos sensíveis?,Espelho técnico fechado da página clínica modos. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/rastreiomodosesquematicos/; 124 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0012,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,O que sustenta seu bem-estar emocional,Espelho técnico fechado da página clínica necessidades. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/Escala-de-Necessidades-Emocionais/; 36 itens clínicos + 3 campos canônicos de identificação.
FORM-2026-0013,2026-09-07T16:25:00-03:00,2026-09-07T16:25:00-03:00,"Autonomia, limites e cuidado nas relações",Espelho técnico fechado da página clínica codependencia. Conteúdo clínico preservado da interface vigente. Uso profissional; não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Fonte: https://ricmurtapsicologia.github.io/Escala-de-Co-Depenpencia-Emocional/; 40 itens clínicos + 3 campos canônicos de identificação.
