ID_INTERNO,CRIADO_EM,ATUALIZADO_EM,TITULO,DESCRICAO,TEMPLATE,STATUS,PUBLICAR,COLETAR_EMAIL,LIMITE_1_RESPOSTA,EDITAR_APOS_ENVIO,QUIZ,EMBARALHAR_PERGUNTAS,MENSAGEM_CONFIRMACAO,CRIAR_PLANILHA_RESPOSTAS,PASTA_FORM_ID,PASTA_RESPOSTAS_ID,GOOGLE_FORM_ID,URL_EDICAO,URL_RESPOSTA,RESPONSE_SHEET_ID,RESPONSE_SHEET_URL,ERRO_CODIGO,ERRO_MENSAGEM,LOCK_TOKEN,PROMPT_ORIGINAL
FORM-2026-0004,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,Panorama do seu momento emocional,Espelho técnico fechado da página clínica geral. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/Rastreioclinico/; 70 itens clínicos + 3 campos de identificação.
FORM-2026-0005,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Atenção, organização e impulsividade no dia a dia",Espelho técnico fechado da página clínica tdah. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/rastreioTDAH/; 85 itens clínicos + 3 campos de identificação.
FORM-2026-0006,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Oscilações de humor, energia e ritmo",Espelho técnico fechado da página clínica bipolar. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/tab-bateria-integrada/; 79 itens clínicos + 3 campos de identificação.
FORM-2026-0007,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Emoções, identidade e relações",Espelho técnico fechado da página clínica borderline. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/Inventario-de-Tracos-Borderline/; 47 itens clínicos + 3 campos de identificação.
FORM-2026-0008,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Autoimagem, reconhecimento e relações",Espelho técnico fechado da página clínica narcisismo. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/bateria.narcisismo/; 114 itens clínicos + 3 campos de identificação.
FORM-2026-0009,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Decisão, planejamento e controle de impulsos",Espelho técnico fechado da página clínica impulsividade. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/Rastreio-de-Impulsividade/; 33 itens clínicos + 3 campos de identificação.
FORM-2026-0010,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,Como você reage quando algo toca em pontos sensíveis?,Espelho técnico fechado da página clínica modos. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/rastreiomodosesquematicos/; 124 itens clínicos + 3 campos de identificação.
FORM-2026-0011,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,O que sustenta seu bem-estar emocional,Espelho técnico fechado da página clínica necessidades. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/Escala-de-Necessidades-Emocionais/; 37 itens clínicos + 3 campos de identificação.
FORM-2026-0012,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,"Autonomia, limites e cuidado nas relações",Espelho técnico fechado da página clínica codependencia. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/Escala-de-Co-Depenpencia-Emocional/; 40 itens clínicos + 3 campos de identificação.
FORM-2026-0013,2026-09-07T15:30:00-03:00,2026-09-07T15:30:00-03:00,Segurança emocional no momento atual,Espelho técnico fechado da página clínica risco. Conteúdo preservado da interface pública vigente. Uso clínico profissional; o instrumento não estabelece diagnóstico isoladamente.,CLINICO,RASCUNHO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Respostas registradas com sucesso. O material será processado e analisado pelo psicólogo responsável.,TRUE,,,,,,,,,,,Espelhamento automático da página canônica https://ricmurtapsicologia.github.io/TriagemRiscoSuicidio/; 18 itens clínicos + 3 campos de identificação.
